file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_55_cid_1247.sdf,55,C22H28O5,1247,https://pubchem.ncbi.nlm.nih.gov/compound/1247
geometries/natoms_48_cid_1248.sdf,48,C21H20NO6+,1248,https://pubchem.ncbi.nlm.nih.gov/compound/1248
geometries/natoms_36_cid_1249.sdf,36,C15H14O7,1249,https://pubchem.ncbi.nlm.nih.gov/compound/1249
geometries/natoms_34_cid_1250.sdf,34,C13H18N2O,1250,https://pubchem.ncbi.nlm.nih.gov/compound/1250
geometries/natoms_51_cid_1251.sdf,51,C21H28O2,1251,https://pubchem.ncbi.nlm.nih.gov/compound/1251
geometries/natoms_50_cid_1252.sdf,50,C21H26O3,1252,https://pubchem.ncbi.nlm.nih.gov/compound/1252
geometries/natoms_36_cid_1253.sdf,36,C15H18N2O,1253,https://pubchem.ncbi.nlm.nih.gov/compound/1253
geometries/natoms_40_cid_1255.sdf,40,C17H19NO3,1255,https://pubchem.ncbi.nlm.nih.gov/compound/1255
geometries/natoms_37_cid_1257.sdf,37,C13H21N3,1257,https://pubchem.ncbi.nlm.nih.gov/compound/1257
geometries/natoms_44_cid_1258.sdf,44,C17H21NO5,1258,https://pubchem.ncbi.nlm.nih.gov/compound/1258
geometries/natoms_63_cid_1264.sdf,63,C20H28N11O4+,1264,https://pubchem.ncbi.nlm.nih.gov/compound/1264
geometries/natoms_62_cid_1265.sdf,62,C20H27N11O4,1265,https://pubchem.ncbi.nlm.nih.gov/compound/1265
geometries/natoms_54_cid_1266.sdf,54,C26H21N5O2,1266,https://pubchem.ncbi.nlm.nih.gov/compound/1266
geometries/natoms_57_cid_1267.sdf,57,C27H23N5O2,1267,https://pubchem.ncbi.nlm.nih.gov/compound/1267
geometries/natoms_48_cid_1270.sdf,48,C16H23N3O6,1270,https://pubchem.ncbi.nlm.nih.gov/compound/1270
geometries/natoms_42_cid_1274.sdf,42,C14H27N,1274,https://pubchem.ncbi.nlm.nih.gov/compound/1274
geometries/natoms_52_cid_1278.sdf,52,C22H25N4O+,1278,https://pubchem.ncbi.nlm.nih.gov/compound/1278
geometries/natoms_51_cid_1279.sdf,51,C22H24N4O,1279,https://pubchem.ncbi.nlm.nih.gov/compound/1279
geometries/natoms_37_cid_1281.sdf,37,C16H15N6+,1281,https://pubchem.ncbi.nlm.nih.gov/compound/1281
geometries/natoms_36_cid_1282.sdf,36,C16H14N6,1282,https://pubchem.ncbi.nlm.nih.gov/compound/1282
geometries/natoms_50_cid_1285.sdf,50,C20H26O4,1285,https://pubchem.ncbi.nlm.nih.gov/compound/1285
